path,score,label
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\001.png,2413.30419921875,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\002.png,2239.04052734375,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\003.png,2180.666259765625,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\004.png,3264.38525390625,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\005.png,4139.61962890625,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\006.png,4347.396484375,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\007.png,1653.05908203125,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\008.png,2281.6396484375,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\009.png,2196.346923828125,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\010.png,2821.635009765625,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\011.png,2725.303955078125,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\012.png,1992.36279296875,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\013.png,1378.190673828125,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\014.png,3688.807861328125,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\015.png,2170.025390625,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\016.png,1827.614013671875,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\017.png,5879.9326171875,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\018.png,1475.4150390625,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\019.png,1936.831787109375,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\020.png,2225.6884765625,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\021.png,1796.929931640625,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\022.png,2948.968994140625,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\023.png,2234.7880859375,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\024.png,1372.569091796875,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\025.png,1318.51611328125,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\026.png,3931.56884765625,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\027.png,2129.623291015625,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\028.png,3019.286376953125,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\029.png,2736.1748046875,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\030.png,2907.388427734375,0
..\任务 2：图像异常检测任务\Image_Anomaly_Detection\hazelnut\test\031.png,2051.374267578125,0
